Tam,Domínio,Descrição,A,AAAA,www A,www AAAA,www CNAME,"Senão, tem outro registro DNS?"
1,b.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
2,am.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
2,bn.br,Biblioteca Nacional,"177.223.196.140
200.9.175.20",,"177.223.196.140
200.9.175.20",,,
2,eb.br,Exército Brasileiro,200.20.120.33,,,,,
2,fm.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
2,gv.br,Intranet FGV,200.143.14.16,,,,intra.eaesp.fgv.br,
2,im.br,Instituto Mairiporã,,,,,,"SOA, RRSIG"
2,ix.br,Internet Exchange Point do Brasil,200.160.4.153,2001:12ff:0:4144:f816:3eff:feed:8a89,200.160.4.153,2001:12ff:0:4144:f816:3eff:feed:8a89,,
2,ml.br,Machine Learning?,35.198.1.102,,35.198.1.102,,,
2,mp.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
2,on.br,Observatório Nacional,200.20.187.134,,200.20.187.134,,,
2,tc.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
2,tv.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
2,ui.br,?,,,,,,"NS, SOA"
3,abc.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,ace.br,Associação Catarinense de Ensino / Faculdade Guilherme Guimbala,186.202.157.79,,,,@,
3,ad1.br,Colégio e Faculdade AD1,108.179.193.195,,108.179.193.195,,,
3,adm.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,adv.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,agr.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,aju.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,apa.br,Universidade Anhanguera de São Paulo,187.17.67.37,,187.17.67.37,,,
3,app.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,arq.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,art.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,atm.br,Faculdade de Odontologia da Universidade de Pernambuco,201.76.51.228,,,,@,
3,ato.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,bhz.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,bib.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,bio.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,bmd.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,bsb.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,bvs.br,Biblioteca Virtual em Saúde,200.10.179.228,,,,cristal20.bireme.br,
3,can.br,Subdomínio (aposentado),,,,,,"NS, SOA, RRSIG"
3,ccc.br,Centro de Ciência e Cultura (Curso e Colégio Anglo Campinas),,,,,compound-ornaments.000webhostapp.com,
3,ccs.br,Centro de Ciências da Saúde (Universidade Estadual de Londrina),,,,,,"NS, SOA"
3,cdb.br,Colégio Salesiano Dom Bosco,"104.21.5.131
172.67.133.121","2606:4700:3033::ac43:8579
2606:4700:3035::6815:583","104.21.5.131
172.67.133.121","2606:4700:3033::ac43:8579
2606:4700:3035::6815:583",,
3,cde.br,Centro de Desenvolvimento Empresarial,,,,,ns_dcweb06.cde.br,
3,cdt.br,Centro de Desenvolvimento de Tecnologia e Recursos Humanos,,,177.126.161.129,,,
3,cem.br,Centro de Ensino Moderno,187.16.145.179,,,,@,
3,cgi.br,Comitê Gestor da Internet no Brasil,200.160.4.2,2001:12ff:0:4::3,,,@,
3,cig.br,Colégio Integrado de Guarulhos,179.188.11.20,,,,@,
3,cim.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,cin.br,Centro de Informática da UFPE,150.161.2.9,,,,@,
3,cmf.br,Missionários Claretianos do Brasil,,,,,@,
3,cng.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,cnt.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,com.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,coz.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,cri.br,?,,,,,,"NS, SOA, RRSIG, NSEC, DNSKEY"
3,cta.br,Departamento de Ciência e Tecnologia Aeroespacial,,,,,dcta-new.cta.br,
3,def.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,des.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,det.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,dev.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,dns.br,DNS,,,,,,"MX, RRSIG"
3,ead.br,Educação a Distância (Rede Laureate International Universities),104.18.11.177,,34.95.223.246,,,
3,ecc.br,Escola Comunitária de Campinas,177.70.106.100,,,,@,
3,ecn.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,eco.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,edu.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,eep.br,Escola de Engenharia de Piracicaba,"185.230.63.107
185.230.63.171
185.230.63.186",,,,cdn0.wixdns.net,
3,emp.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,enf.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,eng.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,epm.br,Escola Paulista de Medicina (Unifesp),200.144.93.141,,,,vml004.epm.br,
3,esg.br,Escola Superior de Guerra,,,200.143.206.219,,,
3,esp.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,etc.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,eti.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,faa.br,Fundação Educacional D. André Arcoverde,187.45.193.172,,,,@,
3,fac.br,Faculdade Arquidiocesana de Curvelo,138.128.164.130,,,,@,
3,fae.br,Faculdades Associadas de Ensino,67.227.165.157,,,,www.fae.br.cdn.cloudflare.net,
3,faj.br,Faculdade de Jaguariúna,54.233.112.201,,,,@,
3,fam.br,Faculdade de Americana,142.93.200.164,,,,,
3,fap.br,Faculdade de Ponta Porã,186.202.157.79,,,,@,
3,far.br,Subdomínio,,,,,,"NS, SOA, RRSIG"
3,fav.br,Faculdades de Valinhos,187.17.67.8,,187.17.67.8,,,
